t_s,dt_s,sample,mode,event,strategy,delay_ms,jitter_ms,delay_steps,jitter_offset,effective_depth,theta_w_rad,theta_dot_rad_s,alpha_rad,alpha_dot_rad_s,voltage_cmd_V,theta_integral,delay_blend,Rf_active,kf_theta,kf_theta_dot,kf_alpha,kf_alpha_dot
0.050000,0.050000,1,HOME,,kf,5,5,1,0,0,-0.622796,0.000000,2.902292,0.000000,3.000000,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.055267,0.005267,2,HOME,,kf,5,5,1,0,0,-0.616660,0.174733,2.917631,0.436833,3.000000,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.060828,0.005561,3,HOME,,kf,5,5,1,0,0,-0.607456,0.396804,2.936039,0.867870,3.000000,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.066447,0.005619,4,HOME,,kf,5,5,1,0,0,-0.592117,0.746751,2.960583,1.392838,3.000000,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.072075,0.005627,5,HOME,,kf,5,5,1,0,0,-0.573709,1.125413,2.988195,1.919924,3.000000,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.077696,0.005621,6,HOME,,kf,5,5,1,0,0,-0.552233,1.529675,3.015806,2.368745,3.000000,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.084579,0.006883,7,HOME,,kf,5,5,1,0,0,-0.518486,2.035649,3.061826,3.016286,3.000000,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.090200,0.005621,8,HOME,,kf,5,5,1,0,0,-0.487806,2.548956,3.107845,3.791825,3.000000,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.095824,0.005623,9,HOME,,kf,5,5,1,0,0,-0.457126,2.984987,-3.135457,-163.316040,2.761514,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.101449,0.005625,10,HOME,,kf,5,5,1,0,0,-0.417243,3.600839,-3.083301,-137.427772,2.257690,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.107073,0.005624,11,HOME,,kf,5,5,1,0,0,-0.374291,4.206225,-3.028078,-115.340806,1.732463,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.114079,0.007006,12,HOME,,kf,5,5,1,0,0,-0.328272,4.560586,-2.972855,-96.857330,1.257999,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.118452,0.004373,13,HOME,,kf,5,5,1,0,0,-0.291456,5.139393,-2.926835,-80.750112,0.789833,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.124072,0.005621,14,HOME,,kf,5,5,1,0,0,-0.245437,5.596637,-2.871612,-67.163813,0.284504,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.129709,0.005637,15,HOME,,kf,5,5,1,0,0,-0.208621,5.736858,-2.828661,-55.946238,-0.052086,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.136576,0.006867,16,HOME,,kf,5,5,1,0,0,-0.162602,5.881540,-2.770369,-46.281035,-0.463646,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.142194,0.005618,17,HOME,,kf,5,5,1,0,0,-0.125786,5.982213,-2.724350,-38.110249,-0.788373,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.147826,0.005632,18,HOME,,kf,5,5,1,0,0,-0.095107,5.901999,-2.690602,-31.494883,-1.009745,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.153453,0.005627,19,HOME,,kf,5,5,1,0,0,-0.064427,5.834603,-2.650719,-25.707375,-1.234963,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.159074,0.005621,20,HOME,,kf,5,5,1,0,0,-0.033748,5.778120,-2.620039,-21.032561,-1.463455,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.165953,0.006879,21,HOME,,kf,5,5,1,0,0,-0.009204,5.446573,-2.589360,-17.208713,-1.560341,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.170449,0.004496,22,HOME,,kf,5,5,1,0,0,0.009204,5.243692,-2.570952,-14.013302,-1.646739,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.176075,0.005625,23,HOME,,kf,5,5,1,0,0,0.030680,5.029777,-2.552544,-11.420473,-1.754370,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.181700,0.005626,24,HOME,,kf,5,5,1,0,0,0.046019,4.684312,-2.540272,-9.380201,-1.773449,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.188573,0.006873,25,HOME,,kf,5,5,1,0,0,0.061359,4.316469,-2.528000,-7.705328,-1.785814,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.194197,0.005624,26,HOME,,kf,5,5,1,0,0,0.070563,3.914460,-2.524932,-6.467708,-1.738843,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.199824,0.005626,27,HOME,,kf,5,5,1,0,0,0.076699,3.490878,-2.524932,-5.497552,-1.660856,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.205493,0.005669,28,HOME,,kf,5,5,1,0,0,0.082835,3.129600,-2.531068,-4.835272,-1.601560,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.211079,0.005586,29,HOME,,kf,5,5,1,0,0,0.085903,2.742542,-2.540272,-4.357128,-1.509986,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.217034,0.005955,30,HOME,,kf,5,5,1,0,0,0.085903,2.331161,-2.552544,-4.012679,-1.386572,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.222576,0.005542,31,HOME,,kf,5,5,1,0,0,0.082835,1.898456,-2.570952,-3.908963,-1.232216,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.226953,0.004376,32,HOME,,kf,5,5,1,0,0,0.076699,1.403375,-2.592428,-4.058711,-1.034605,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.233824,0.006871,33,HOME,,kf,5,5,1,0,0,0.070563,1.058924,-2.620039,-4.052656,-0.882182,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.239449,0.005625,34,HOME,,kf,5,5,1,0,0,0.058291,0.572845,-2.653787,-4.344669,-0.638184,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.245072,0.005623,35,HOME,,kf,5,5,1,0,0,0.042951,0.077697,-2.690602,-4.675099,-0.366921,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.251948,0.006876,36,HOME,,kf,5,5,1,0,0,0.027612,-0.268601,-2.730486,-4.843908,-0.140313,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.256445,0.004498,37,HOME,,kf,5,5,1,0,0,0.012272,-0.739917,-2.770369,-5.447497,0.123800,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.262074,0.005629,38,HOME,,kf,5,5,1,0,0,-0.009204,-1.201197,-2.819457,-5.938414,0.433990,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.268949,0.006874,39,HOME,,kf,5,5,1,0,0,-0.030680,-1.489619,-2.868544,-6.118739,0.692323,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.273445,0.004496,40,HOME,,kf,5,5,1,0,0,-0.052155,-1.982714,-2.914563,-6.736368,1.012057,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.279087,0.005642,41,HOME,,kf,5,5,1,0,0,-0.079767,-2.419348,-2.972855,-7.275556,1.363941,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.284964,0.005877,42,HOME,,kf,5,5,1,0,0,-0.101243,-2.604569,-3.021942,-7.437074,1.591313,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.290576,0.005612,43,HOME,,kf,5,5,1,0,0,-0.125786,-2.869913,-3.080233,-7.879584,1.867265,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.294950,0.004374,44,HOME,,kf,5,5,1,0,0,-0.147262,-3.175966,-3.126253,-8.275945,2.130887,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.301821,0.006871,45,HOME,,kf,5,5,1,0,0,-0.168738,-3.168395,3.101709,128.924589,2.300422,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.307449,0.005628,46,HOME,,kf,5,5,1,0,0,-0.190214,-3.265494,3.049554,108.195888,2.501357,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.313079,0.005630,47,HOME,,kf,5,5,1,0,0,-0.205553,-3.184365,3.003534,90.740421,2.599737,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.319951,0.006872,48,HOME,,kf,5,5,1,0,0,-0.217825,-2.974586,2.960583,76.191794,2.634978,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.324447,0.004496,49,HOME,,kf,5,5,1,0,0,-0.223961,-2.733104,2.929903,63.739493,2.611621,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.330072,0.005625,50,HOME,,kf,5,5,1,0,0,-0.227029,-2.404945,2.896156,53.278700,2.537717,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.336942,0.006870,51,HOME,,kf,5,5,1,0,0,-0.223961,-1.977218,2.868544,44.684033,2.384855,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.341448,0.004505,52,HOME,,kf,5,5,1,0,0,-0.220893,-1.578490,2.850136,37.368552,2.240693,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.347073,0.005626,53,HOME,,kf,5,5,1,0,0,-0.211689,-1.096313,2.831729,31.272463,2.022409,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.353946,0.006872,54,HOME,,kf,5,5,1,0,0,-0.199418,-0.664001,2.819457,26.313728,1.794540,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.358449,0.004503,55,HOME,,kf,5,5,1,0,0,-0.187146,-0.155642,2.813321,22.162289,1.543858,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.364071,0.005622,56,HOME,,kf,5,5,1,0,0,-0.168738,0.358847,2.810253,18.756089,1.242249,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.369696,0.005626,57,HOME,,kf,5,5,1,0,0,-0.150330,0.795835,2.807185,15.860873,0.963890,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.376571,0.006874,58,HOME,,kf,5,5,1,0,0,-0.122718,1.278965,2.810253,13.548687,0.598058,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.382197,0.005627,59,HOME,,kf,5,5,1,0,0,-0.098175,1.741438,2.816389,11.679963,0.262967,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.387819,0.005622,60,HOME,,kf,5,5,1,0,0,-0.076699,2.053238,2.822525,10.091688,-0.002379,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.393446,0.005627,61,HOME,,kf,5,5,1,0,0,-0.049087,2.481291,2.831729,8.823281,-0.351688,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.399073,0.005627,62,HOME,,kf,5,5,1,0,0,-0.021476,2.845204,2.844000,7.826947,-0.681755,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.405986,0.006913,63,HOME,,kf,5,5,1,0,0,0.006136,3.017511,2.856272,6.919166,-0.954341,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.410452,0.004466,64,HOME,,kf,5,5,1,0,0,0.027612,3.286253,2.865476,6.190449,-1.206769,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.416073,0.005621,65,HOME,,kf,5,5,1,0,0,0.055223,3.530165,2.880816,5.671243,-1.500836,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.421698,0.005625,66,HOME,,kf,5,5,1,0,0,0.076699,3.573290,2.890020,5.065978,-1.685579,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.428569,0.006871,67,HOME,,kf,5,5,1,0,0,0.104311,3.640080,2.905360,4.640961,-1.926510,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.434195,0.005626,68,HOME,,kf,5,5,1,0,0,0.128854,3.748416,2.917631,4.271991,-2.155360,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.439828,0.005632,69,HOME,,kf,5,5,1,0,0,0.147262,3.676392,2.923767,3.794605,-2.281015,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.445451,0.005623,70,HOME,,kf,5,5,1,0,0,0.165670,3.615949,2.932971,3.470922,-2.410144,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.451073,0.005622,71,HOME,,kf,5,5,1,0,0,0.181010,3.482857,2.939107,3.114004,-2.492935,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.457960,0.006887,72,HOME,,kf,5,5,1,0,0,0.190214,3.160891,2.942175,2.713724,-2.469976,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.462444,0.004485,73,HOME,,kf,5,5,1,0,0,0.199418,2.994587,2.945243,2.409276,-2.493716,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.468070,0.005625,74,HOME,,kf,5,5,1,0,0,0.205553,2.709015,2.942175,1.966076,-2.457132,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.473702,0.005632,75,HOME,,kf,5,5,1,0,0,0.205553,2.302663,2.939107,1.589461,-2.335226,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.480567,0.006865,76,HOME,,kf,5,5,1,0,0,0.205553,1.957263,2.932971,1.216969,-2.231606,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.486205,0.005638,77,HOME,,kf,5,5,1,0,0,0.202485,1.582053,2.923767,0.789563,-2.094500,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.491823,0.005618,78,HOME,,kf,5,5,1,0,0,0.196350,1.180907,2.914563,0.425370,-1.925068,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.497457,0.005634,79,HOME,,kf,5,5,1,0,0,0.187146,0.758717,2.902292,0.034827,-1.724780,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.503073,0.005616,80,HOME,,kf,5,5,1,0,0,0.177942,0.399088,2.890020,-0.298160,-1.543260,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.509947,0.006874,81,HOME,,kf,5,5,1,0,0,0.165670,0.071446,2.874680,-0.588158,-1.346793,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.514444,0.004497,82,HOME,,kf,5,5,1,0,0,0.153398,-0.348631,2.862408,-0.909295,-1.122595,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.520068,0.005624,83,HOME,,kf,5,5,1,0,0,0.138058,-0.705478,2.847068,-1.182042,-0.892823,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.525698,0.005631,84,HOME,,kf,5,5,1,0,0,0.125786,-0.926582,2.834796,-1.331662,-0.728317,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.532584,0.006885,85,HOME,,kf,5,5,1,0,0,0.107379,-1.188611,2.819457,-1.466093,-0.502446,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.538199,0.005615,86,HOME,,kf,5,5,1,0,0,0.092039,-1.420106,2.810253,-1.492051,-0.310279,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.543823,0.005624,87,HOME,,kf,5,5,1,0,0,0.079767,-1.534391,2.801049,-1.513719,-0.177819,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.549444,0.005621,88,HOME,,kf,5,5,1,0,0,0.064427,-1.713564,2.791845,-1.532260,-0.001348,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.555070,0.005626,89,HOME,,kf,5,5,1,0,0,0.049087,-1.865508,2.785709,-1.466012,0.166953,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.561947,0.006877,90,HOME,,kf,5,5,1,0,0,0.036816,-1.853354,2.782641,-1.313029,0.261482,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.566459,0.004511,91,HOME,,kf,5,5,1,0,0,0.027612,-1.881386,2.779573,-1.218086,0.343523,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.572076,0.005617,92,HOME,,kf,5,5,1,0,0,0.015340,-1.926867,2.779573,-1.035373,0.455342,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.577697,0.005621,93,HOME,,kf,5,5,1,0,0,0.006136,-1.883459,2.782641,-0.798193,0.515950,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.584567,0.006870,94,HOME,,kf,5,5,1,0,0,-0.003068,-1.801889,2.788777,-0.544498,0.565110,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.590198,0.005631,95,HOME,,kf,5,5,1,0,0,-0.009204,-1.695056,2.797981,-0.217647,0.582148,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.595822,0.005624,96,HOME,,kf,5,5,1,0,0,-0.015340,-1.604459,2.807185,0.060491,0.604056,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.601446,0.005625,97,HOME,,kf,5,5,1,0,0,-0.018408,-1.445609,2.819457,0.378691,0.580945,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.607102,0.005656,98,HOME,,kf,5,5,1,0,0,-0.021476,-1.310135,2.837864,0.810091,0.564846,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.613951,0.006849,99,HOME,,kf,5,5,1,0,0,-0.024544,-1.180804,2.856272,1.091716,0.550591,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.618447,0.004496,100,HOME,,kf,5,5,1,0,0,-0.024544,-1.003684,2.874680,1.542099,0.497455,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.623031,0.004584,101,HOME,,kf,5,5,1,0,0,-0.021476,-0.752740,2.893088,1.913132,0.397628,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.629905,0.006874,102,HOME,,kf,5,5,1,0,0,-0.021476,-0.639829,2.920699,2.228676,0.363754,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.635460,0.005554,103,HOME,,kf,5,5,1,0,0,-0.015340,-0.378140,2.948311,2.640090,0.236160,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.641072,0.005612,104,HOME,,kf,5,5,1,0,0,-0.012272,-0.239419,2.978991,3.064076,0.170000,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.647951,0.006879,105,HOME,,kf,5,5,1,0,0,-0.006136,-0.069710,3.009670,3.273443,0.070001,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.652449,0.004499,106,HOME,,kf,5,5,1,0,0,-0.003068,0.043040,3.034214,3.600778,0.011632,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.658077,0.005627,107,HOME,,kf,5,5,1,0,0,0.003068,0.200144,3.067962,3.960239,-0.084587,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.664951,0.006874,108,HOME,,kf,5,5,1,0,0,0.009204,0.304013,3.101709,4.102604,-0.164835,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.669441,0.004491,109,HOME,,kf,5,5,1,0,0,0.015340,0.463372,3.126253,4.307055,-0.261730,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.675085,0.005644,110,HOME,,kf,5,5,1,0,0,0.018408,0.475409,-3.123185,-162.443287,-0.289885,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.681945,0.006860,111,HOME,,kf,5,5,1,0,0,0.024544,0.538262,-3.092505,-137.405972,-0.357828,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.686443,0.004498,112,HOME,,kf,5,5,1,0,0,0.027612,0.559826,-3.067962,-115.976649,-0.388841,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.692070,0.005627,113,HOME,,kf,5,5,1,0,0,0.030680,0.557636,-3.037282,-97.762316,-0.412728,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.698081,0.006011,114,HOME,,kf,5,5,1,0,0,0.033748,0.550555,-3.015806,-82.562019,-0.435147,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.703834,0.005753,115,HOME,,kf,5,5,1,0,0,0.033748,0.467972,-2.991263,-69.537735,-0.410372,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.709452,0.005618,116,HOME,,kf,5,5,1,0,0,0.033748,0.397776,-2.966719,-58.451805,-0.389313,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.714138,0.004686,117,HOME,,kf,5,5,1,0,0,0.030680,0.239906,-2.948311,-49.094815,-0.317409,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.720949,0.006811,118,HOME,,kf,5,5,1,0,0,0.027612,0.136350,-2.929903,-41.325169,-0.261798,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.725446,0.004498,119,HOME,,kf,5,5,1,0,0,0.024544,0.013582,-2.917631,-34.717133,-0.200424,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.731077,0.005630,120,HOME,,kf,5,5,1,0,0,0.018408,-0.151926,-2.902292,-29.100887,-0.101684,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.737946,0.006869,121,HOME,,kf,5,5,1,0,0,0.012272,-0.263120,-2.890020,-24.467787,-0.019239,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.742441,0.004495,122,HOME,,kf,5,5,1,0,0,0.003068,-0.530779,-2.880816,-20.490492,0.134690,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.748072,0.005631,123,HOME,,kf,5,5,1,0,0,-0.003068,-0.614622,-2.871612,-17.171729,0.208930,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.753697,0.005625,124,HOME,,kf,5,5,1,0,0,-0.012272,-0.767857,-2.868544,-14.514160,0.328532,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.760576,0.006879,125,HOME,,kf,5,5,1,0,0,-0.024544,-0.920280,-2.862408,-12.203235,0.472434,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.766195,0.005619,126,HOME,,kf,5,5,1,0,0,-0.036816,-1.109839,-2.859340,-10.290850,0.627476,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.771832,0.005637,127,HOME,,kf,5,5,1,0,0,-0.046019,-1.188286,-2.859340,-8.747222,0.724641,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.777449,0.005617,128,HOME,,kf,5,5,1,0,0,-0.058291,-1.337742,-2.862408,-7.517063,0.867653,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.783074,0.005625,129,HOME,,kf,5,5,1,0,0,-0.070563,-1.464339,-2.865476,-6.471319,1.003807,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.789947,0.006873,130,HOME,,kf,5,5,1,0,0,-0.082835,-1.512517,-2.868544,-5.567578,1.116435,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.794449,0.004502,131,HOME,,kf,5,5,1,0,0,-0.095107,-1.694493,-2.871612,-4.834655,1.269202,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.800069,0.005620,132,HOME,,kf,5,5,1,0,0,-0.107379,-1.767857,-2.877748,-4.273225,1.389386,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.805752,0.005683,133,HOME,,kf,5,5,1,0,0,-0.116583,-1.745625,-2.883884,-3.794206,1.456348,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.812578,0.006826,134,HOME,,kf,5,5,1,0,0,-0.128854,-1.753453,-2.893088,-3.427329,1.556871,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.818197,0.005619,135,HOME,,kf,5,5,1,0,0,-0.141126,-1.818046,-2.899224,-3.077035,1.674424,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.823827,0.005630,136,HOME,,kf,5,5,1,0,0,-0.147262,-1.708820,-2.905360,-2.778961,1.690743,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.829449,0.005623,137,HOME,,kf,5,5,1,0,0,-0.156466,-1.698034,-2.914563,-2.607654,1.761139,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.835072,0.005623,138,HOME,,kf,5,5,1,0,0,-0.165670,-1.688871,-2.920699,-2.380200,1.832021,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.842019,0.006947,139,HOME,,kf,5,5,1,0,0,-0.168738,-1.501786,-2.926835,-2.155662,1.800439,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.847576,0.005557,140,HOME,,kf,5,5,1,0,0,-0.174874,-1.442149,-2.932971,-1.997943,1.831635,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.853194,0.005619,141,HOME,,kf,5,5,1,0,0,-0.177942,-1.307729,-2.939107,-1.862057,1.815853,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.858836,0.005642,142,HOME,,kf,5,5,1,0,0,-0.177942,-1.111570,-2.945243,-1.745884,1.757005,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.864569,0.005733,143,HOME,,kf,5,5,1,0,0,-0.177942,-0.944834,-2.948311,-1.564271,1.706984,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.870197,0.005628,144,HOME,,kf,5,5,1,0,0,-0.177942,-0.803109,-2.954447,-1.493177,1.664467,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.875821,0.005624,145,HOME,,kf,5,5,1,0,0,-0.174874,-0.600812,-2.957515,-1.351031,1.579234,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
0.881444,0.005624,146,HOME,,kf,5,5,1,0,0,-0.168738,-0.347023,-2.960583,-1.230210,1.454010,0.000000,0.000000,0.000004627,-0.622796,0.000000,2.902292,0.000000
